SCRUB_ITEM,TIME_DIM_KEY,SCRUB_TRANS_NO,TRANS_SEQ_NO,UNIT_QTY,UNIT_PRICE,UNIT_COST
2,20190228,8686,1,2.000,14.99,10.990
2,20190301,8711,1,11.000,14.99,10.990
2,20190301,8712,1,1.000,14.99,10.990
2,20190301,8714,1,1.000,14.99,10.990
2,20190301,8716,1,2.000,14.99,10.990
2,20190301,8719,1,6.000,14.99,10.990
2,20190301,8722,1,1.000,14.99,10.990
2,20190301,8723,1,2.000,14.99,10.990
2,20190304,8759,2,1.000,14.99,10.990
2,20190304,8766,1,6.000,14.99,10.990
2,20190304,8767,1,1.000,14.99,10.990
2,20190304,8768,1,1.000,14.99,10.990
2,20190304,8769,1,4.000,14.99,10.990
2,20190304,8772,1,2.000,14.99,10.990
2,20190304,8774,1,1.000,14.99,10.990
2,20190304,8775,1,2.000,14.99,10.990
2,20190305,8818,1,-1.000,14.99,10.990
2,20190305,8822,1,2.000,14.99,10.990
2,20190305,8826,1,1.000,14.99,10.990
2,20190305,8830,1,4.000,14.99,10.990
2,20190305,8833,1,1.000,14.99,10.990
2,20190305,8834,1,1.000,14.99,10.990
2,20190306,8851,1,15.000,14.99,10.990
2,20190306,8853,1,1.000,14.99,10.990
2,20190306,8854,1,2.000,14.99,10.990
2,20190306,8861,2,1.000,14.99,10.990
2,20190306,8862,1,2.000,14.99,10.990
2,20190307,8877,1,1.000,14.99,10.990
2,20190307,8878,1,6.000,14.99,10.990
2,20190307,8879,1,1.000,14.99,10.990
2,20190307,8880,1,1.000,14.99,10.990
2,20190307,8881,1,1.000,14.99,10.990
2,20190307,8882,1,5.000,14.99,10.990
2,20190308,8892,1,4.000,14.99,10.990
2,20190308,8893,1,1.000,14.99,10.990
2,20190308,8894,1,12.000,14.99,10.990
2,20190308,8895,1,3.000,14.99,10.990
2,20190308,8896,1,4.000,14.99,10.990
2,20190311,8919,1,8.000,14.99,10.990
2,20190311,8923,1,1.000,14.99,10.990
2,20190311,8926,1,3.000,14.99,10.990
2,20190311,8927,1,3.000,14.99,10.990
2,20190311,8930,1,1.000,14.99,10.990
2,20190311,8931,1,1.000,14.99,10.990
2,20190311,8933,1,2.000,14.99,10.990
2,20190311,8934,1,7.000,14.99,10.990
2,20190312,8981,2,2.000,14.99,10.990
2,20190313,9020,1,3.000,14.99,10.990
2,20190313,9021,1,2.000,14.99,10.990
2,20190313,9042,1,-1.000,14.99,10.990
2,20190314,9066,1,2.000,14.99,10.990
2,20190314,9067,1,6.000,14.99,10.990
2,20190314,9068,1,2.000,14.99,10.990
2,20190314,9069,1,4.000,14.99,10.990
2,20190315,9107,1,1.000,14.99,10.990
2,20190315,9108,1,1.000,14.99,10.990
2,20190315,9110,1,1.000,14.99,10.990
2,20190318,9148,1,1.000,14.99,10.990
2,20190318,9149,1,2.000,14.99,10.990
